Site_ID,medium_cd,site_no,Piez_Nest,Site_name,sample_dt,Date_Analyzed,coll_ent_cd,remark_cd,result_va,result_va_meq,meth_cd,rpt_lev_va,anl_ent_cd,parameter_nm,srsname,parameter_units,Source,Sample.area.or.well.piezometer.Unit.Formation.of.Screened.Interval,Latitude,Latitude_Datum,Longitude,LandSurfaceElevation_ft..NAVD88,Well_Depth_ft..BLS,Top.of.Sample_ftBLS,Bottom.of.Sample_ftBLS,MeanSampleDepth_ftBLS
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,NA,USGS,NA,232,3.803278689,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,NA,USGS,NA,186,3.049180328,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,NA,USGS,NA,230,3.770491803,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,220,3.606557377,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,NA,USGS,NA,256,4.196721311,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,NA,USGS,NA,227,3.721311475,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,214,3.508196721,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,243,3.983606557,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,NA,USGS,NA,233,3.819672131,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,217,3.557377049,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
